date,4. close
2020-12-08,2.17
2020-12-07,2.15
2020-12-04,2.28
2020-12-03,1.97
2020-12-02,1.83
2020-12-01,1.6
2020-11-30,1.76
2020-11-27,1.92
2020-11-25,1.97
2020-11-24,1.97
2020-11-23,1.9
2020-11-20,1.56
2020-11-19,1.54
2020-11-18,1.57
2020-11-17,1.54
2020-11-16,1.46
2020-11-13,1.28
2020-11-12,1.19
2020-11-11,1.24
2020-11-10,1.21
2020-11-09,1.27
2020-11-06,0.99
2020-11-05,1.04
2020-11-04,0.999
2020-11-03,1.0
2020-11-02,0.9992
2020-10-30,0.9943
2020-10-29,1.06
2020-10-28,1.06
2020-10-27,1.16
2020-10-26,1.2
2020-10-23,1.33
2020-10-22,1.27
2020-10-21,1.14
2020-10-20,1.14
2020-10-19,1.14
2020-10-16,1.17
2020-10-15,1.2
2020-10-14,1.12
2020-10-13,1.08
2020-10-12,1.13
2020-10-09,1.13
2020-10-08,1.13
2020-10-07,1.08
2020-10-06,1.04
2020-10-05,1.12
2020-10-02,1.03
2020-10-01,0.98
2020-09-30,0.9756
2020-09-29,0.9973
2020-09-28,1.06
2020-09-25,1.0
2020-09-24,1.04
2020-09-23,1.05
2020-09-22,1.18
2020-09-21,1.19
2020-09-18,1.31
2020-09-17,1.28
2020-09-16,1.32
2020-09-15,1.24
2020-09-14,1.01
2020-09-11,1.02
2020-09-10,1.07
2020-09-09,1.18
2020-09-08,1.16
2020-09-04,1.21
2020-09-03,1.32
2020-09-02,1.37
2020-09-01,1.45
2020-08-31,1.47
2020-08-28,1.53
2020-08-27,1.46
2020-08-26,1.43
2020-08-25,1.57
2020-08-24,1.57
2020-08-21,1.51
2020-08-20,1.6
2020-08-19,1.65
2020-08-18,1.77
2020-08-17,1.7
2020-08-14,1.76
2020-08-13,1.73
2020-08-12,1.72
2020-08-11,1.71
2020-08-10,1.73
2020-08-07,1.61
2020-08-06,1.47
2020-08-05,1.51
2020-08-04,1.48
2020-08-03,1.34
2020-07-31,1.61
2020-07-30,1.57
2020-07-29,1.67
2020-07-28,1.61
2020-07-27,1.68
2020-07-24,1.75
2020-07-23,1.78
2020-07-22,1.81
2020-07-21,1.82
2020-07-20,1.57
